Tanggapan,SI,S_SI,I,S_I
semoga lebih bisa diperbaiki lagi yang masih kurang,0,0,0,0
Tingkatkan,0,0,0,0
Y,0,0,0,0
suka server down,1,0,0,0
sudah cukup baik tingkatkan lagi,0,1,0,1
lebih diperbaiki lagi,0,0,0,0
jaringan internet perbaiki,0,1,1,0
hati hati sama server down masalah nya kalo banyak yang akses sama hujan gede jadi susah di akses,1,0,0,1
harap di tingkatkan,0,0,0,0
jadilah lebih baik,0,1,0,1
adanya informasi melalui email selain igracias,1,0,0,1
Cukup bagus,0,1,0,1
syudah bagus,0,1,0,1
cukup bagus,0,1,0,1
-,0,0,0,0
Sudah baik,0,1,0,1
harus lebih baik,0,1,0,1
selalu update dan mediasi kepada masyarakat Telkom dari semua aspek,1,0,0,1
tolong lebih responsif,0,0,0,0
sudah cukup baik menurut saya,0,1,0,1
layanan sistem informasi kurang cepat menyebar ke mahasiswa. jadi ada sebagian mahasiswa yang belom mendapatkan informasi terkini dari telkom university,1,0,0,1
-,0,0,0,0
mantap,0,1,0,1
inovasi dalam menyebar-luaskan informasi,1,1,0,1
lbh baik lg kedepan,0,1,0,1
sudah baik dan cepat dalam menyampaikan informasi,1,1,0,0
Semoga server tidak sering down lagi,1,0,0,1
untuk layanan sistem informasi yang paling terlihat kurang memuaskan yaitu akses internet tune karena sering kali kita mengalami kesulitan mengakses jaringan di tune,1,0,1,0
Dalam layanan Sistem Informasi sudah sangat baik,1,1,0,1
-,0,0,0,0
mantap,0,1,0,1
....,0,0,0,0
"Berikan informasi, jangan saat hari H",1,0,0,1
Tingkatkan,0,0,0,0
Baik,0,1,0,1
Sistem presensi mohon diperbaiki,1,0,0,1
.,0,0,0,0
Sudah cukup baik,0,1,0,1
menginformasikan berita selama 24 jam,1,0,0,1
lebih ditingkatkan lagi,0,0,0,0
ebih ditingkatkan lagi dalam pelayanannya sampai semua mahasiswa yg kuliah disini puas dan nyaman,0,0,0,0
tidak ada,0,1,0,1
pelayanan sistem informasi yang lebih mamadai akan lebih baik,1,0,0,1
"tidak ada saran, udah bagus juga sistim informasi tel u cuman mungkin jauh lebih baik lagi apabila applikasi I-Gracias bisa dibuat di android maupun os os lain",1,0,0,1
tingkatkan penyebaran/ info-info penting,1,0,0,1
lebih cepat dalam melayani keluhan,1,0,0,1
lebih cepat dan tanggap,0,1,0,1
wqw bohong semua,0,0,0,0
tingkatkan lagi,0,0,0,0
Lebih di akuratkan dan lebih d luaskan infomasi yang ada,1,0,0,0
lebih di tingkatkan lagi,0,0,0,0
cukup baik,0,1,0,1
sudah cukup baik,0,1,0,1
lanjutkan,0,1,0,1
Tolong koneksi wifi diperluas dan distabilkan,0,1,1,0
tidak ada saran,0,1,0,1
ditingkatkan lagi kare tune masih kurang baik,1,0,0,1
.,0,0,0,0
Buatlah aplikasi dan pengklasifikasian dalam IGracias lebih mudah,1,0,0,1
dengan media internet kamisudah sangat terbantu dengan layanan informasi dengan di berikan internet free access,1,1,1,1
-,0,0,0,0
ffaa,0,0,0,0
"cukup lengkap, namun terkadang informasi yang diberikan berbeda-beda jawabannya dari orang yang memberikan informasi",1,0,0,1
Perbanyak informasi bermanfaat seperti beasiswa maupun paper di setiap mading yang tersedia,1,0,0,0
semoga semakin baik lagi,0,1,0,1
perluas informasi,1,0,0,1
untuk layanan sistem informasi sudah cukup baik mungkin perlu ditingkatkan lagi saja,1,1,0,1
-,0,0,0,0
Tidak ada,0,1,0,1
Tidak ada,0,1,0,1
layanan sistem informasi seperti tune itu sangat baik dan cepat,1,1,0,1
baik,0,1,0,1
tingkatkan,0,0,0,0
igracias sangat sering error,1,0,0,1
cukup memuaskan,0,1,0,1
menurut saya sudah cukup baik,0,1,0,1
Agar innformasi lebih disebar dengan media yang lebih luas,1,0,0,1
Tidak ada,0,1,0,1
semoga kedepannya bisa lebih baik lagi,0,0,0,0
lebih di tingkatkan lagi,0,0,0,0
makin di tingkatkan,0,0,0,0
Bingung hmm,0,0,0,0
